"AuthorBassman","AuthorCUNxTime","AuthorChuz Life","AuthorJPSartre12","AuthorMatthew S","AuthorPeeling","AuthorSteeeeve","Authorchester","Authorjitobear","Length:100","Length:200","Length:200m","Length:50","Turn:7-8","Turn:9-10","subtopic"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"application-constitution"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tea-party-senator-uses-eye-shadow-eye-liner"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"call-prayer-not-actual-solution-nigeria-problems"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"government-run-healthcare-discussion"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"disabled-veterans-compensation"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"america-lost-society"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"environmental-enforcement-leaves-musicians-fear"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"happiest-countries-world"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"entitlement-mentality"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"good-message-iroquois"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"does-us-need-velvet-revolution-azerbaijan"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"government-taxes"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"citizen"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"entire-bush-tax-cuts-will-extended-obama-will-surrender"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"international-law"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2010-i-wont-vote"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"us-constitution"
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,"dag-nabbit-does-seperation-church-state-mean-anything-anymore"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"farmers-markets-facing-possible-extinction"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"three-duties-government-1-protect-property-2-preserve-contracts"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"privacy-what-privacy"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"responsibility-entitlement-free-society"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"constitution-not-effect"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"constitution-delicate-balance"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"big-brother-should-we-concerned"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"best-form-government-existing-theorized"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"return-constitutional-government"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"keith-ellison-using-quran-swearing-ceremony"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bush-i-will-leave-office-my-head-held-high"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conservatives-you-want-know-what-happened-us-view"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"country-democracy-communist-merely-because-they-say-so"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"who-sovereign"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fraud-socialized-medicine"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"scam-federal-reserve-bank"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fascist-america-10-easy-steps"
0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,"fraud-freemarket"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"has-congress-become-more-stronger-then-presidency"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"can-third-party-ever-make"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"outraged-about-us-soldiers-rape-murder"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"my-immigration-plan-what-do-you-think"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"what-patriotism"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"immigration"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"what-exactly-interstate-commerce"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"americans-enjoy-least-opportunities"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"osamas-message-democrats"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"scary-message-george-carlin"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"too-much-big-brother"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tells-you-something-doesnt"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"michigan-gas-amendment"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"flag-burning-who-cares"
3,0,0,0,2,0,0,0,1,0,2,1,0,2,0,"my-magic-wand"
0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,"christian-nation"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"kofi-annans-five-lessons"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"holiday-trees"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"all-politics-loco-how-conservative-ideology-cripples-america"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"english-official-us-language"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"flag-burning"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"does-really-cost-much"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ringside-zachvac-vs-evan-flag-burning-debate"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fav-president"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"there-goes-constitution-poker-ban"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"there-goes-democracy"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"uk-local-elections"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hurricanes-nukes-one-blackeyed-president"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"do-you-like-bush-well-most-dont"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"civil-war"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conservative-victory"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"impeachment-president-open-letter-house-judiciary-committee"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"choice-follies"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"could-we-write-better-constitution-today"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"virginia"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conscription-unconstitutional"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"indiana-government-gone-too-far"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"speaking-governmental-bodies"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"flag-burning-amendment"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"heres-whats-wrong-our-government"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"communism-v-democratic-republic"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"truth"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"disaster-accountability"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"new-government"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lets-overthrow-government"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"literal-interpratation"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"gas-prices"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"north-koreas-govt-legitimate"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"george-bush-stoner"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"gop-member-wants-private-records-citizens"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"iraqi-war"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bu-h-has-no-use-public-concerns"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fate-flag-burnners"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"comments-war"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"libertarians-similar-needed-political-simulation"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"consent-governed"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"wat-would-u-do"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"brave-new-world"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"what-happened-america"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"what-do-you-think"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hell-us-military"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"initiatives-referenda"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"house-approves-flag-desecration-ban"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"interventionism-terrorism-totalitarianism"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"patriot-act-sneaky-bastards"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"what-do-you-think-about-freedom-speech-usa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"flag-burning"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"logic-war-drugs"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"us-militariast"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"top-ten-reasons-close-americas-border"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"united-states-north-atlantic"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"how-different-would"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"didn-t-chinese-people-accept-japan-s-apologies"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"propaganda"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"will-starving-beast-work"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"constitution-views"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"some-liberal-jews-america-say-president-bush-his-hatred-jewry-pars-hamas"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"congress-should-term-limited"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"president-pinocchio"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"christian-nation"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"disbanding-military"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"whats-wrong-kansas"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2003-compared-1984-a"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"consumers-can-lenders-instead-spenders"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"do-we-have-have-president"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"us-dollar"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"israel-hits-us-taxpayers-wallet"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"support-our-troops-bring-them-home"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"political-stance-helps-country-more"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"all-you-atheists"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"just-one-little-s"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"two-down-one-more-go"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"isolationism"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"religious-war"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"outsourcing-jobs-u-s"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"long-list-u-n-failures"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dont-vote-nader-2004-a"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"flag-burning-question"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"interventionism-suicide-american-republic"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"flag-burning"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"why-dont-conservatives-vote-liberterian"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"prime-interest-rate"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"worlds-biggest-moron-rep-duncan-hunter"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"moore-loses-scotus"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"most-christian-virtues"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"behavior-liberals-conservatives-why-they-cant-trusted"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"what-you-look-president"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"i-think-constitutional-separation-church-state-should-upheld"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"why-i-am-against-federalism"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"federal-reserve-not-part-us-government"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"council-tax"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"limitations-free-speech"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"our-current-government"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"talk-about-flip-flops-bushs-broken-campaign-promises"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"those-fiendish-dog-owners"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"less-complex-government"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"come-britain-land-opportunities"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"public-integrity"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"who-bankrolls-bush-his-democratic-rivals"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"senators-inner-nixon"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"transportation-bill-hid-billions-tax-breaks"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"corrupt-state-judges"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ingredients-unnecessary-war"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bowling-columbine"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"admit-wmd-mistake-survey-chief-tells-bush"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"distinction"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bush-administration-sending-jobs-overseas-good-thing"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"death-penalty-trial-oklahoma-bomb-accomplice-could-backfire-fbi"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"foreign-aid-should-we"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"final-hour-united-states"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"iraq-vs-incas"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"why-us"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"secularism-belief-based"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"why-do-right-wing-americans-fear-their-government"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"americans"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"women-combat"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sad-day-canada"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"under-god-out"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"govt-library-searches"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"president"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"social-security-socialist-scam"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"minimum-wage"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"us-imperialism-end-act"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"should-government-lie-its-people-case-war"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"u-s-imperialism"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"capitalism-socialism"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"further-erosion-our-borders"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14-facism-facts"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"homeland-defense-department"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"stupid-idiots-sue-president-over-war-iraq"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"interventionism"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"my-defense-u-s-intelligence-apparatus"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"differences-between-socialism-communism"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"constitutional-law"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"states-rights"
